source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
7627862074752,7.99137783,111.236028,111.3694082,0.646683393,-0.118338794,-0.071233524,-0.00638253
9277129363072,10.58095872,180.7701761,181.8143904,0.895266239,-0.025923313,-0.008379507,-0.068586087
13297218905216,10.74310238,223.7610052,224.4349515,1.376348155,-0.088405687,-0.082290682,-0.002986983
13469017597184,11.07568239,308.100106,308.8165744,1.88978567,0.042482796,0.05354705,-0.03865194
15736760328576,10.16870078,445.8783311,448.0006853,3.696141743,-0.140514424,-0.139702798,-0.008450218
16527034310784,9.971989261,81.4197612,81.82256467,0.724509113,-0.0824625,-0.124801043,-0.041612768
16733192740608,9.873995828,123.7583703,124.4209205,1.183338443,-0.012847079,0.01667537,-0.002831979
16870631694208,10.5610421,337.523356,338.8547132,3.179110983,0.131400736,0.126750835,-0.025828021
26834955821312,9.970699163,113.9810801,114.0219466,0.987956234,-0.011579468,0.017502747,0.007213351
33260226885120,9.790357747,421.6525481,421.2797371,4.925604022,-0.087106248,-0.049838675,-0.071679177
44358422235136,9.317437084,70.38559236,71.62851742,0.87235331,-0.040563439,-0.023841144,-0.011920603
51745765982848,11.25915632,139.3450436,141.6360919,2.27178664,0.038606533,0.173528564,-0.018449594
82463372227072,10.55569707,288.255374,286.9126828,3.985906275,0.049569181,0.031840629,-0.024037674
83150566993664,9.482734613,45.0031075,44.90478679,0.6922284,0.069017698,0.026086146,-0.048834784
86105504493056,10.27647882,151.1058502,150.0396653,2.34404592,0.133196274,0.146127359,-0.050057461
92599494964480,9.854889728,63.47185457,62.18872456,0.880757734,-0.047207503,0.028458818,0.028620185
111600430360448,11.26343655,254.166073,253.4423444,4.730573659,0.001788278,0.073791993,-0.051271333
115723598973952,10.7878422,66.89494653,67.14200592,1.343868769,-0.097920511,-0.093196803,-0.040057821
120190364960512,9.215293965,168.3744346,168.4215235,3.693691891,-0.005207995,-0.102478422,-0.075823504
122732985598464,8.774115846,107.0497109,107.7846293,2.633872887,-0.150189367,-0.134077036,-0.021239329
132662949987200,7.385723789,122.8825878,123.1952,2.946096609,-0.155784375,-0.121093376,-0.082515079
134999412195456,11.91490016,594.5252751,596.9917156,15.39163143,0.114694263,0.121642897,0.022205479
139363098967552,11.53355835,339.4630944,339.7681042,9.307629927,-0.04520134,-0.092932285,-0.002396677
142730353190144,11.31906371,129.3882531,132.4390817,2.301232424,-0.192017707,-0.093229559,0.008855303
148949465832832,9.713120421,462.1529049,472.8699926,9.794677703,0.05258218,0.02776512,0.003196306
180045029052928,10.23150674,232.0350079,241.3171249,6.231344385,-0.055188617,-0.070784739,0.005721789
189871914442624,11.55712631,1054.775345,1099.582453,31.65881334,-0.107700018,-0.053820707,-0.211729346
202619377158912,11.0911418,241.6080143,250.5853825,7.476712208,-0.027003492,-0.022657586,-0.038652914
219558728443008,7.342878474,148.2103922,150.0660175,4.256687759,-0.003026214,0.022689267,-0.001126781
223407019139328,11.40533559,826.2393462,843.1592625,24.60880742,-0.084084194,-0.042390886,-0.033087828
237185274221312,10.99596957,157.977537,159.1128838,5.151035992,0.000207174,0.020226262,-0.001774118
250241974800256,7.314448376,139.2037176,143.1179916,4.768126816,0.061141056,0.128706775,-0.015314451
261752487149952,8.870556827,90.46312077,93.25706829,3.429976063,-0.027552972,0.01536171,0.007632286
262439682250240,11.02693072,276.9342347,286.1635837,10.89538413,-0.05112963,-0.123193067,-0.022650684
279447752740096,11.99235269,246.8104184,253.2966621,10.35335075,-0.113868138,-0.089261128,0.00356512
308619170261760,10.46549383,96.02291256,93.86303761,2.277332513,-0.058233349,-0.098590754,-0.032325288
310337157179392,10.59229844,96.86018038,94.70689355,2.360131146,-0.031282687,-0.073025697,-0.032171583
320713798164992,9.993138116,94.92005344,94.08010354,2.51337469,-0.08517873,-0.085153202,-0.015555961
326005197873024,11.18625612,277.8121341,276.4779686,7.449433276,0.083683256,0.115186881,-0.011093892
326829831593216,11.588919,247.320142,245.2967599,6.740863773,0.143286127,0.138752913,0.004327653
332464828681984,8.644954174,259.3466536,257.7211822,7.943182738,-0.092850543,-0.06121858,-0.011276838
347067717484672,9.67879066,145.3188481,144.1613152,4.905101771,0.149890295,0.111236062,-0.075773701
349369819955456,9.468820101,105.2615032,103.5606182,3.534451456,0.14328481,0.140191004,-0.006926918
379331511584000,11.0139563,256.3814536,246.6858682,7.725478205,0.103649509,0.153686363,-0.013806143
380190505042560,11.09919729,660.7283511,636.6230119,20.81388448,-0.000409975,0.052662901,-0.016809562
383111082972928,11.1351388,228.8584932,219.7551921,7.331522834,-0.082408521,-0.054634307,-0.058522008
383832637478528,11.49725627,222.0871942,213.0240338,7.146364285,-0.121683137,-0.068064865,-0.01955633
386959373500544,10.47335755,529.7620889,510.3339587,18.95666445,0.034991877,0.043024875,-0.012539877
407781375177472,9.717327728,130.9489389,127.6246931,4.793283432,-0.142387113,-0.114250843,0.005855622
419532406004608,11.91272874,486.7862156,473.2892402,19.68583063,0.137848668,0.11162909,-0.020937008
435750201986944,11.40241334,181.4722911,181.838362,6.535067267,-0.061187734,-0.013100153,0.029247551
445233489772800,9.711129029,632.7630798,627.8142821,23.50422019,0.121945322,0.148371637,-0.036840209
445542727418880,12.09794593,569.8198982,564.0687497,20.96923491,0.058378271,0.091222502,-0.002902488
450559249338752,10.72099583,180.6061868,180.5670103,7.128812555,-0.007982315,-0.014029117,-0.053667267
454510619249664,7.341202765,120.7607746,120.1622079,4.910703667,0.014804454,-0.015012046,-0.018059005
461142048768128,11.32912247,689.0610273,699.0136178,28.38303584,-0.108093607,-0.148594087,-0.076962146
470797135247616,10.74478569,78.25888612,79.51495306,3.412283751,-0.153758897,-0.111051609,-0.003854457
471759207921536,8.495480626,624.425811,632.9678467,27.45476834,-0.19266652,-0.093028757,-0.012779588
484541030591872,11.6403343,291.6292065,295.719916,13.50737346,-0.038647715,0.020628424,0.055335704
502957850346880,10.93177478,220.6169013,218.8037253,9.397018158,-0.107357401,-0.083528954,-0.00273792
503060929561600,9.779563681,397.9729273,395.7446175,17.05526242,0.059195154,0.110471797,-0.005736072
506222025490304,10.37008555,147.853606,146.5096072,6.437850729,0.119594776,0.119735766,-0.01940124
544739292207744,10.15137639,257.7648367,258.7808188,13.92444908,0.077682372,0.043874148,-0.093618778
550649167193728,11.17993914,197.2110157,195.509181,10.13138036,-0.115114511,0.003480122,0.03483118
558998583615616,9.793644518,545.1548871,543.6851167,29.926512,0.016109334,0.006747909,-0.008133407
560647851057152,10.18685449,184.0659238,183.5456564,10.39389539,0.061466386,0.084456195,0.023624119
582878602026496,10.99437225,102.9959825,107.9531385,3.771851569,0.113577042,0.06010198,-0.030800516
600608226687232,11.92492932,320.7401112,341.7701895,13.04801127,-0.014879323,-0.012760662,0.006191832
607961210693248,11.08210889,289.4700457,310.0240164,12.87567416,0.143340826,0.137868788,-0.038602677
608854563890560,12.30707939,222.1481377,237.4686354,9.894557956,-0.124327283,-0.155271508,-0.057016913
613974164903552,8.731944209,98.84572905,105.7617038,4.669494521,-0.122885643,-0.099260715,-0.014340864
638988055195008,10.36899699,376.0235641,388.7121508,15.50229002,0.009827259,-0.011580796,-0.013575362
655102772186240,10.85874384,73.26524984,75.67522348,3.366037079,0.032517923,-0.043483074,-0.05944781
661493683521664,11.26183896,308.8701485,320.7041349,14.73915801,-0.039727488,-0.072134479,-0.031651231
671973403266304,11.02346039,149.2078281,157.1605075,7.358831404,-0.077262739,-0.091015384,-0.017543193
677436601666432,8.348615383,10.11252572,10.69856771,0.504136046,0.034629048,0.077104164,-0.063362579
680013582042112,7.894596586,205.7004842,218.0016405,10.88834321,0.077941431,0.076126183,-0.046134777
683621355025280,10.11040931,244.5782611,257.4467755,13.1433347,0.073432793,0.04061401,-0.011570299
684755225936640,10.95812064,324.1109207,342.9293584,17.81833514,0.047410487,0.066237147,-0.000258795
691936411710976,11.67845606,386.2153721,400.7672743,20.32907812,-0.109348918,-0.131268594,-0.004534237
695887781621376,11.88851269,355.4949932,374.1769314,19.68625039,0.110817203,0.035206231,-0.048133447
699976590486784,8.992349532,390.410207,409.7570739,21.96162982,-0.104488958,-0.119931578,-0.093630149
706711098769024,9.887181833,494.6929468,534.6330002,24.5221772,0.051580936,0.046781733,-0.013260846
714957435975040,10.174256,505.3218352,548.6198674,26.63621808,0.156995777,0.132549605,-0.011595456
720283195419008,11.6169706,436.8289104,472.4279477,24.24325474,0.035293044,0.002017563,-0.025505681
724543802977664,11.95152419,1763.88529,1895.785053,95.87880332,-0.100554591,-0.012882947,0.022639279
740074405209472,10.60602859,113.1285335,123.1200097,6.288284926,0.088779225,0.079179529,0.004653414
753474703170560,11.26638697,260.6899095,284.4551478,16.11979534,0.127363933,0.127223254,0.012579262
755536287475840,9.899524057,84.9725817,93.14504435,5.424699223,-0.155101975,-0.094604606,-0.064209392
760449730059008,11.91244184,341.7080553,371.5591127,21.26796389,-0.091190433,-0.045659978,0.00302932
766565763488128,12.32802482,308.5599174,335.9539226,19.64131134,-0.107618198,-0.104749601,-0.053530343
768764786752768,12.26197026,243.270185,265.6558898,15.99839681,0.136450813,0.108086142,-0.013746335
772613077449728,11.99396208,276.6629339,302.0730729,18.68822273,0.130544211,0.120448851,0.010885506
774468502825984,9.671451572,56.45502575,60.02522447,3.071224928,0.072945539,0.087981058,0.021060255
774709020993664,10.28464385,494.1763461,526.2776815,27.22818838,0.116195132,0.095970609,-0.003356646
776873684508800,10.63866412,1668.143935,1781.173612,94.49875086,-0.01015084,0.195011942,-0.459282286
785016942497280,12.59025801,568.6920571,608.4023827,34.5445983,-0.130555597,-0.016856238,0.026643879
796218217974144,7.806527121,274.19508,289.260393,16.39648968,-0.143868914,-0.105967308,-0.023430847
801475257172480,11.50361802,142.7303494,151.9764164,9.048103761,-0.08824211,-0.084937801,-0.009917525
804876872041600,9.052716879,97.96401525,103.873084,6.172523471,-0.091792192,-0.116830141,-0.01163185
825286556365824,10.35771693,134.5176934,145.9250747,9.518960772,-0.01281927,-0.028573516,-0.121257972
825801951954176,9.6024306,69.18193188,74.79035975,4.875088137,0.074612771,0.132072753,0.014431009
840885877096960,10.96069033,258.6887456,277.9573453,18.81830668,0.01119214,-0.044611832,-0.040541829
858684221564672,10.97352037,225.7776208,232.4448964,12.01389135,-0.042422244,-0.052732096,-0.008264848
861707878538752,11.80541732,478.5892479,493.941026,26.53725955,-0.037810683,-0.014170615,-0.035450078
871637842928896,11.41956237,199.855415,205.03288,10.77510308,0.014014426,-0.010903622,-0.019801927
875520493878272,9.378580441,135.4635301,138.3232591,7.451810577,-0.067605499,0.012530038,-0.012081615
879987259352576,9.630462448,95.86408593,99.36839343,5.141602582,-0.024646331,0.02264971,-0.006422597
914999833264128,9.62846685,101.57817,102.8737184,5.385506264,-0.064036972,-0.038965005,-0.002552802
915549589077504,9.077478731,238.9433752,242.3723024,12.88619339,-0.086443948,-0.097699582,-0.009611998
926098028236928,11.7598406,507.6593424,518.3405905,29.80199819,0.067430493,0.09140641,0.029018484
945854878312448,9.571836164,399.1673967,402.5053013,24.69235958,0.01782068,0.038932948,-0.008214706
958671060221568,10.45263754,357.1913505,366.2000108,23.84929448,0.007880918,0.028037371,0.003056643
961969595104128,11.29087676,355.9839451,368.9028458,24.20270679,0.00225356,0.081421596,0.01258982
969837975192832,10.34802458,146.4013317,149.5439449,9.606066647,-0.059037664,-0.062831556,-0.000320874
989904062400256,10.90433179,485.9969399,508.4128145,30.76030071,0.076004983,0.109844669,0.008409808
1002101769514360,11.78980813,319.8240174,337.6474972,22.54553382,0.080684596,0.081166136,-0.035986847
1002823324024960,11.36192659,198.7698724,207.4426838,12.84396104,-0.092864035,-0.10254081,-0.039560981
1017494932301050,12.28677955,356.0268953,372.3575579,25.65062456,-0.116156941,-0.070676563,-0.031490665
1036770746015230,11.56385956,114.6524902,122.8345234,9.040734989,0.141530267,0.121789949,-0.032917494
1045841716445440,12.09207846,576.6961907,608.5413427,44.82739377,-0.005728136,0.120530659,0.021238927
1047113026766330,11.54194738,254.281684,270.1785316,19.66381548,0.053680404,0.035737587,-0.020208645
1048040739701240,11.42071261,199.6398673,212.0636521,15.54419891,0.018623041,0.061231041,-0.006105155
1048727934966520,10.16077841,167.5971908,178.0152646,13.25467003,0.038289427,0.037352931,0.004374945
1066148321826560,8.204596233,151.0924865,157.8977747,11.22827426,-0.033890426,-0.012401923,-0.006149837
1074497738251900,10.27788175,177.1792953,182.2897797,12.88750611,0.014958957,0.01968111,0.001945057
1090268858649600,11.47177373,1070.070143,1110.098986,87.2481201,-0.057510594,-0.014313046,-0.02255226
1102878882629880,8.046961189,111.5484579,117.9861049,9.260791697,0.131257028,0.12216743,-0.02271143
1104390711118200,9.908925407,123.1775675,129.7406249,10.19186915,-0.014546169,0.016943908,-0.019378847
1107689245998970,11.27622278,837.3215877,882.9930213,71.9009785,-0.127066803,-0.108151422,-0.048129328
1127446095499390,9.405278393,307.9936666,292.8147625,9.549359333,0.088495767,0.093756912,-0.021948126
1128511247388540,10.53063547,354.4525914,338.5082348,11.21794612,0.052209319,0.078734115,-0.014842149
1145553677617530,10.92212498,174.6472669,165.2508304,6.123110029,-0.037266094,-0.098258362,-0.039604838
1145828555524600,11.56367986,322.316715,306.2287132,11.23046029,-0.151756809,-0.111350955,-0.020392832
1149711205959420,10.43777532,1027.580114,970.4071411,37.73957248,0.041896627,0.047124365,0.003819979
1156892390864000,10.22739561,1084.076691,1029.262334,41.90328889,-0.07085787,-0.050556527,0.011623784
1164451533867640,12.11177461,495.5988152,478.230053,19.54255197,-0.120346458,-0.05591231,-0.08383645
1164692052035840,11.00816512,200.6029145,193.5143365,7.993639811,-0.156276927,-0.129554408,0.006050944
1168609062209280,11.74037054,314.2322919,303.0375036,13.13744749,0.110579018,0.122827168,-0.08319051
1171701438920570,9.774244526,419.0938768,406.9372435,17.87651577,-0.134954544,-0.143794128,-0.024592535
1174725095638140,11.40681425,319.8803116,309.4231599,13.72280534,0.144675248,0.122584671,-0.004340811
1186991522234360,11.73106266,1845.759588,1767.638355,84.23490554,-0.028977454,-0.068180665,-0.147529959
1199086149579520,11.30783622,124.0328752,117.1631729,4.828530592,0.119207274,0.104903332,0.003236307
1202075446817150,11.31898253,269.1741145,251.854248,10.53157326,-0.143998317,-0.087436651,-0.029192025
1204377549284350,9.840685855,174.8132373,164.1363106,7.248288985,0.082448467,0.102688374,0.005056441
1213001847039740,9.21736981,81.3100406,76.90204805,3.669410962,0.016994758,0.090255338,0.021733357
1218946078350590,9.582515847,125.3438207,117.0781604,5.341240345,0.002828361,0.119948543,0.017382929
1222622570352640,9.016978657,116.2980407,108.6898091,5.361104134,0.098718363,0.1105625,0.006472708
1236881861774840,11.45393218,90.76095878,86.24060506,4.271373286,0.108452829,0.138531341,0.040618808
1243753810014080,11.35165417,163.4464309,156.8986603,8.263779836,-0.079234502,-0.128182918,-0.042878359
1249148288371960,6.382911453,89.09883533,84.28338871,4.215824414,0.006267886,-0.025721251,-0.09010826
1296358568895480,11.89143151,1554.534603,1520.085687,84.30177368,-0.078715209,-0.041589259,-0.075531706
1296942684447100,10.00169721,296.8423867,290.3770625,16.35310573,0.098300464,0.059695138,-0.037266951
1299760182992890,10.99629542,811.9928397,792.9775037,44.9432072,0.111554977,0.111502136,-0.00260879
1302027926233080,6.962196349,161.2595495,159.3332891,8.393665482,-0.143634146,-0.128173195,-0.034361285
1341953941710080,11.43693363,399.1995013,384.2181817,21.32369925,-0.009458035,0.0146736,0.003313147
1344015526010360,10.76395961,243.8440506,235.0148807,13.47946104,0.114070409,0.146960319,0.001941573
1371022280380280,9.437872739,489.5830329,472.4691498,31.27451431,-0.093977651,-0.091297417,-0.035300928
1375798284017530,11.377386,506.4272986,494.5858094,31.38069276,-0.077746756,-0.033407342,0.016419019
1385625169185790,10.73221315,193.9332346,189.961238,12.57694706,0.085170343,0.072807819,-0.003783433
1402908117580160,10.37055913,255.6736153,250.1572688,18.09455877,-0.118969852,-0.0977429,-0.033320258
1412185246935800,10.01333308,891.9398862,826.0465305,40.50117681,-0.155135028,-0.063442345,-0.035222345
1414796587050360,11.4607002,230.5821511,214.3170879,11.03877127,-0.14554671,-0.125392584,0.033601668
1417476646642680,11.12122264,650.3512303,607.3283819,31.28426351,0.056298191,-0.012334848,-0.095313186
1428781000563200,8.255568511,602.1954901,556.8615537,30.39677181,0.068362671,0.083329445,-0.035922315
1432801089951480,11.39728683,164.5856205,151.855266,8.440434604,0.021250379,0.050995374,-0.002964531
1438676605210620,11.50128557,202.8747893,187.8712813,10.77813252,0.030267367,-0.00827962,-0.017135633
1445101876286200,11.40750597,274.4594435,258.547269,14.48683731,-0.139968592,-0.129336891,-0.063883822
1468775736031230,10.87172392,280.775756,262.1996293,16.8016649,-0.060867369,-0.065984524,-0.016935902
1487055116831480,10.42512416,106.5821167,98.41586534,5.83533363,-0.019158876,-0.0324308,-0.020182287
1492690114496120,10.8819076,293.9955549,270.5221087,16.86442635,-0.079996002,-0.115999395,-0.103852224
1504716022924540,8.473640067,95.31491427,87.62995604,5.525076135,-0.012302002,0.049145521,-0.021442879
1510385379757690,11.56886107,256.7475867,234.9645156,15.6196264,-0.143352496,-0.060528361,-0.037715286
1511484891386750,8.911266541,247.3566536,227.4078513,15.33663453,-0.035135117,-0.001757819,0.01280554
1512962359559680,8.99451623,94.17660635,87.52171604,5.397097734,0.110189171,0.088850772,-0.015124339
1546634903990400,8.883308845,242.3077771,225.7178641,16.8546756,-0.135194299,-0.121179193,-0.004567519
1546703623466880,10.0078954,248.6025347,231.4957067,17.32987486,0.059670818,0.058453285,0.007513821
1555190478029440,11.69909456,430.6837473,409.7911832,26.94920576,-0.128362773,-0.087909684,-0.020153594
1555671514365820,9.827083686,145.3515196,138.6066094,9.170238341,-0.021511484,-0.056791206,0.003735001
1555740233842300,10.84963232,220.4055831,210.0904347,14.00887938,0.162608985,0.088597352,-0.087580605
1564673765814270,11.33767011,68.30848941,65.30317245,4.533405513,0.080590897,0.125603358,0.005020181
1564708125552380,10.44266322,553.6115813,529.4682886,36.80959011,-0.102938715,-0.05884937,-0.019913868
1589172259268090,10.46872096,698.4916144,669.4366545,48.07207033,-0.166496307,-0.097468209,-0.040373891
1599755059174520,10.85827587,199.3348212,193.5924158,14.98633529,-0.056160685,-0.009135585,0.00352632
